LogId,ModuleName,LogTime,Level,LogOrigin,OperationGuid,LogType,Description
7954377,Smc20.Conference.Service.ConfService,2026/4/29 9:00:22,错误,System,,操作日志,"会议""测试会议""的会场""丰台分院（信息中心） [8112,10.63.106.32]""离会，原因：SMC挂断呼叫"
7954376,Smc20.Conference.Service.ConfService,2026/4/29 9:00:22,信息,admin2,d82e263e-f8c5-4941-b366-92241520191f,操作日志,挂断会议"测试会议"的会场"丰台分院（信息中心）"。
7954375,Smc20.Conference.Service.ConfService,2026/4/29 9:00:12,信息,admin2,f5f3f269-d08e-48ce-a685-0bbd6f3748dc,操作日志,发送会议"测试会议"的会场"丰台分院（信息中心）"演示成功
7954373,Smc20.Conference.Service.ConfService,2026/4/29 9:00:11,信息,admin2,f5f3f269-d08e-48ce-a685-0bbd6f3748dc,操作日志,锁定会议"测试会议" 中的会场"丰台分院（信息中心）"演示令牌成功。
7954374,Smc20.Conference.Service.ConfService,2026/4/29 9:00:11,信息,admin2,f5f3f269-d08e-48ce-a685-0bbd6f3748dc,操作日志,发送会议"测试会议"的会场"丰台分院（信息中心）"演示
7954372,Smc20.Conference.Service.ConfService,2026/4/29 9:00:11,信息,admin2,f5f3f269-d08e-48ce-a685-0bbd6f3748dc,操作日志,锁定会议"测试会议"中会场"丰台分院（信息中心）"的演示令牌。
7954371,Smc20.Conference.Service.ConfService,2026/4/29 9:00:04,信息,System,,操作日志,解锁会议"测试会议" 中的会场"丰台分院（信息中心）"演示令牌成功。
7954370,Smc20.Conference.Service.ConfService,2026/4/29 9:00:03,信息,admin2,36cfbd73-3167-4b29-8014-333e724c470b,操作日志,停止发送会议"测试会议"的会场"丰台分院（信息中心）"演示成功
7954368,Smc20.Conference.Service.ConfService,2026/4/29 9:00:03,信息,admin2,36cfbd73-3167-4b29-8014-333e724c470b,操作日志,解锁会议"测试会议"中会场"丰台分院（信息中心）"的演示令牌。
7954369,Smc20.Conference.Service.ConfService,2026/4/29 9:00:03,信息,admin2,36cfbd73-3167-4b29-8014-333e724c470b,操作日志,停止发送会议"测试会议"的会场"丰台分院（信息中心）"演示
7954367,Smc20.Conference.Service.ConfService,2026/4/29 8:59:53,信息,admin2,7f853676-9fa4-4b5a-a9f5-cea708b76af9,操作日志,发送会议"测试会议"的会场"丰台分院（信息中心）"演示成功
7954365,Smc20.Conference.Service.ConfService,2026/4/29 8:59:53,信息,admin2,7f853676-9fa4-4b5a-a9f5-cea708b76af9,操作日志,锁定会议"测试会议" 中的会场"丰台分院（信息中心）"演示令牌成功。
7954366,Smc20.Conference.Service.ConfService,2026/4/29 8:59:53,信息,admin2,7f853676-9fa4-4b5a-a9f5-cea708b76af9,操作日志,发送会议"测试会议"的会场"丰台分院（信息中心）"演示
7954364,Smc20.Conference.Service.ConfService,2026/4/29 8:59:52,信息,admin2,7f853676-9fa4-4b5a-a9f5-cea708b76af9,操作日志,锁定会议"测试会议"中会场"丰台分院（信息中心）"的演示令牌。
7954360,Smc20.Conference.Service.ConfService,2026/4/29 8:59:47,信息,System,,操作日志,解锁会议"测试会议" 中的会场"丰台分院（信息中心）"演示令牌成功。
7954359,Smc20.Conference.Service.ConfService,2026/4/29 8:59:47,信息,admin2,a4820720-3d8f-41ae-9383-3833da588437,操作日志,停止发送会议"测试会议"的会场"丰台分院（信息中心）"演示成功
7954357,Smc20.Conference.Service.ConfService,2026/4/29 8:59:47,信息,admin2,a4820720-3d8f-41ae-9383-3833da588437,操作日志,解锁会议"测试会议"中会场"丰台分院（信息中心）"的演示令牌。
