LogId,ModuleName,LogTime,Level,LogOrigin,OperationGuid,LogType,Description
7952518,Smc20.Conference.Service.ConfService,2026/4/28 14:29:31,信息,System,,操作日志,解锁会议"丰台教委视频会议1617" 中的会场"丰台分院（信息中心）"演示令牌成功。
7952517,Smc20.Conference.Service.ConfService,2026/4/28 14:29:31,信息,admin2,818752e9-c318-464a-8d34-f6cacef52aea,操作日志,停止发送会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"演示成功
7952515,Smc20.Conference.Service.ConfService,2026/4/28 14:29:30,信息,admin2,818752e9-c318-464a-8d34-f6cacef52aea,操作日志,解锁会议"丰台教委视频会议1617"中会场"丰台分院（信息中心）"的演示令牌。
7952516,Smc20.Conference.Service.ConfService,2026/4/28 14:29:30,信息,admin2,818752e9-c318-464a-8d34-f6cacef52aea,操作日志,停止发送会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"演示
7952513,Smc20.Conference.Service.ConfService,2026/4/28 14:29:25,信息,admin2,d7363720-f69a-498c-b660-b87dfe4145af,操作日志,发送会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"演示成功
7952511,Smc20.Conference.Service.ConfService,2026/4/28 14:29:25,信息,admin2,d7363720-f69a-498c-b660-b87dfe4145af,操作日志,锁定会议"丰台教委视频会议1617" 中的会场"丰台分院（信息中心）"演示令牌成功。
7952512,Smc20.Conference.Service.ConfService,2026/4/28 14:29:25,信息,admin2,d7363720-f69a-498c-b660-b87dfe4145af,操作日志,发送会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"演示
7952510,Smc20.Conference.Service.ConfService,2026/4/28 14:29:24,信息,admin2,d7363720-f69a-498c-b660-b87dfe4145af,操作日志,锁定会议"丰台教委视频会议1617"中会场"丰台分院（信息中心）"的演示令牌。
7952507,Smc20.Conference.Service.ConfService,2026/4/28 14:29:06,信息,System,,操作日志,解锁会议"丰台教委视频会议1617" 中的会场"丰台分院（信息中心）"演示令牌成功。
7952506,Smc20.Conference.Service.ConfService,2026/4/28 14:29:06,信息,admin2,b0872821-7f32-4c69-b450-7b60eff38eac,操作日志,停止发送会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"演示成功
7952504,Smc20.Conference.Service.ConfService,2026/4/28 14:29:06,信息,admin2,b0872821-7f32-4c69-b450-7b60eff38eac,操作日志,解锁会议"丰台教委视频会议1617"中会场"丰台分院（信息中心）"的演示令牌。
7952505,Smc20.Conference.Service.ConfService,2026/4/28 14:29:06,信息,admin2,b0872821-7f32-4c69-b450-7b60eff38eac,操作日志,停止发送会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"演示
7952503,Smc20.Conference.Service.ConfService,2026/4/28 14:28:56,信息,admin2,5edc0b23-1af5-4bad-9e59-bf13c34ca8a7,操作日志,发送会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"演示成功
7952501,Smc20.Conference.Service.ConfService,2026/4/28 14:28:56,信息,admin2,5edc0b23-1af5-4bad-9e59-bf13c34ca8a7,操作日志,锁定会议"丰台教委视频会议1617" 中的会场"丰台分院（信息中心）"演示令牌成功。
7952502,Smc20.Conference.Service.ConfService,2026/4/28 14:28:56,信息,admin2,5edc0b23-1af5-4bad-9e59-bf13c34ca8a7,操作日志,发送会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"演示
7952500,Smc20.Conference.Service.ConfService,2026/4/28 14:28:55,信息,admin2,5edc0b23-1af5-4bad-9e59-bf13c34ca8a7,操作日志,锁定会议"丰台教委视频会议1617"中会场"丰台分院（信息中心）"的演示令牌。
7952499,Smc20.Conference.Service.ConfService,2026/4/28 14:28:48,信息,admin2,22902b09-0640-4ea7-a180-78c1896e30fd,操作日志,停止发送会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"演示成功
7952498,Smc20.Conference.Service.ConfService,2026/4/28 14:28:48,信息,admin2,22902b09-0640-4ea7-a180-78c1896e30fd,操作日志,停止发送会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"演示
7952479,Smc20.Conference.Service.ConfService,2026/4/28 14:25:14,信息,System,,操作日志,"会议""丰台教委视频会议1617""的会场""丰台分院（信息中心） [8112,10.63.106.32]""入会。"
7952478,Smc20.Conference.Service.ConfService,2026/4/28 14:25:13,信息,admin2,633f8959-2df3-4c0c-81b8-3dcac23dfb01,操作日志,呼叫会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"。
7952477,Smc20.Conference.Service.ConfService,2026/4/28 14:25:06,错误,System,,操作日志,"会议""丰台教委视频会议1617""的会场""丰台分院（信息中心） [8112,10.63.106.32]""离会，原因：SMC挂断呼叫"
7952476,Smc20.Conference.Service.ConfService,2026/4/28 14:25:06,信息,admin2,597e1046-e3af-4314-b75c-6888bc94aabd,操作日志,挂断会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"。
7952467,Smc20.Conference.Service.ConfService,2026/4/28 14:24:22,信息,System,,操作日志,"会议""丰台教委视频会议1617""的会场""TE录播设备 [<alias-1>,<recorder_host>]""入会。"
7952468,Smc20.Conference.Service.ConfService,2026/4/28 14:24:22,信息,System,,操作日志,"会议""丰台教委视频会议1617""的会场""TE模拟器 [<alias-2>,<recorder_host_secondary>]""入会。"
7952469,Smc20.Conference.Service.ConfService,2026/4/28 14:24:22,信息,System,,操作日志,"会议""丰台教委视频会议1617""的会场""TE录播设备 [<alias-1>,<recorder_host>]""入会。"
7952470,Smc20.Conference.Service.ConfService,2026/4/28 14:24:22,信息,System,,操作日志,"会议""丰台教委视频会议1617""的会场""TE模拟器 [<alias-2>,<recorder_host_secondary>]""入会。"
7952466,Smc20.Conference.Service.ConfService,2026/4/28 14:24:08,信息,System,,操作日志,"会议""丰台教委视频会议1617""的会场""丰台分院（信息中心） [8112,10.63.106.32]""入会。"
7952463,Smc20.Conference.Service.ConfService,2026/4/28 14:24:07,信息,System,,操作日志,呼叫会议"丰台教委视频会议1617"的会场"TE录播设备"。
7952464,Smc20.Conference.Service.ConfService,2026/4/28 14:24:07,信息,System,,操作日志,呼叫会议"丰台教委视频会议1617"的会场"TE模拟器"。
7952465,Smc20.Conference.Service.ConfService,2026/4/28 14:24:07,信息,System,,操作日志,呼叫会议"丰台教委视频会议1617"的会场"丰台分院（信息中心）"。
